Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,92002,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,92004,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,92012,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,92014,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98000,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98001,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98002,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98003,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98004,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98005,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98006,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98007,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98008,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98009,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98010,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98011,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98012,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98013,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98014,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98015,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98016,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98966,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98967,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98968,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98970,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98971,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98972,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98980,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,98981,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99202,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99203,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99204,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99205,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99211,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99212,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99213,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99214,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99215,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99242,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99243,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99244,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99245,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99304,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99305,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99306,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99307,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99308,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99309,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99310,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99315,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99316,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99341,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99342,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99344,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99345,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99347,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99348,,CPT,2.16.840.1.113883.6.12
Ambulatory Visits,2.16.840.1.113883.3.464.1004.1022,99349,,CPT,2.16.840.1.113883.6.12
