Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,82465,,CPT,2.16.840.1.113883.6.12
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,83718,,CPT,2.16.840.1.113883.6.12
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,83722,,CPT,2.16.840.1.113883.6.12
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,84478,,CPT,2.16.840.1.113883.6.12
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,2.16.840.1.113883.6.1
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,2093-3,Cholesterol [Mass/volume] in Serum or Plasma,LOINC,2.16.840.1.113883.6.1
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,2571-8,Triglyceride [Mass/volume] in Serum or Plasma,LOINC,2.16.840.1.113883.6.1
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,3043-7,Triglyceride [Mass/volume] in Blood,LOINC,2.16.840.1.113883.6.1
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,9830-1,Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma,LOINC,2.16.840.1.113883.6.1
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,14740000,Triglycerides measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,28036006,High density lipoprotein cholesterol measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,77068002,Cholesterol measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,104583003,High density lipoprotein/total cholesterol ratio measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,104584009,Intermediate density lipoprotein cholesterol measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,104586006,Cholesterol/triglyceride ratio measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,104784006,"Lipids, triglycerides measurement (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,104990004,Triglyceride and ester in high density lipoprotein measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,104991000,Triglyceride and ester in intermediate density lipoprotein measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,121868005,Total cholesterol measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,166832000,Serum high density lipoprotein cholesterol measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,166838001,Serum fasting high density lipoprotein cholesterol measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,166839009,Serum random high density lipoprotein cholesterol measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,166849007,Serum fasting triglyceride measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,166850007,Serum random triglyceride measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,167072001,Plasma random high density lipoprotein cholesterol measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,167073006,Plasma fasting high density lipoprotein cholesterol measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,167082000,Plasma triglyceride measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,167083005,Plasma random triglyceride measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,167084004,Plasma fasting triglyceride measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,271245006,Measurement of serum triglyceride level (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,275972003,Cholesterol screening (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,314035000,Plasma high density lipoprotein cholesterol measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,315017003,Fasting cholesterol level (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,390956002,Plasma total cholesterol level (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,412808005,Serum total cholesterol measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,412827004,Fluid sample triglyceride measurement (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Lab Test,2.16.840.1.113883.3.464.1004.1742,443915001,Measurement of total cholesterol and triglycerides (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Test Result or Finding,2.16.840.1.113883.3.464.1004.1743,166830008,Serum cholesterol above reference range (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Test Result or Finding,2.16.840.1.113883.3.464.1004.1743,166848004,Serum triglycerides above reference range (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Test Result or Finding,2.16.840.1.113883.3.464.1004.1743,259557002,High density lipoprotein triglyceride (substance),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Test Result or Finding,2.16.840.1.113883.3.464.1004.1743,365793008,Finding of cholesterol level (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Test Result or Finding,2.16.840.1.113883.3.464.1004.1743,365794002,Finding of serum cholesterol level (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Test Result or Finding,2.16.840.1.113883.3.464.1004.1743,365795001,Finding of triglyceride level (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Test Result or Finding,2.16.840.1.113883.3.464.1004.1743,365796000,Finding of serum triglyceride levels (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Test Result or Finding,2.16.840.1.113883.3.464.1004.1743,439953004,Cholesterol/high density lipoprotein ratio above reference range (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Test Result or Finding,2.16.840.1.113883.3.464.1004.1743,707122004,Triglyceride in high density lipoprotein subfraction 2 (substance),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Test Result or Finding,2.16.840.1.113883.3.464.1004.1743,707123009,Triglyceride in high density lipoprotein subfraction 3 (substance),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Test Result or Finding,2.16.840.1.113883.3.464.1004.1743,1162800007,Cholesterol esters within reference range (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Test Result or Finding,2.16.840.1.113883.3.464.1004.1743,1172655006,Low density lipoprotein cholesterol below reference range (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Cholesterol Test Result or Finding,2.16.840.1.113883.3.464.1004.1743,1172656007,Low density lipoprotein cholesterol within reference range (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
