Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Alcohol Counseling or Other Follow Up Care,2.16.840.1.113883.3.464.1004.1437,99408,,CPT,2.16.840.1.113883.6.12
Alcohol Counseling or Other Follow Up Care,2.16.840.1.113883.3.464.1004.1437,99409,,CPT,2.16.840.1.113883.6.12
Alcohol Counseling or Other Follow Up Care,2.16.840.1.113883.3.464.1004.1437,G0396,"Alcohol and/or substance (other than tobacco) misuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes (G0396)",HCPCS,2.16.840.1.113883.6.285
Alcohol Counseling or Other Follow Up Care,2.16.840.1.113883.3.464.1004.1437,G0397,"Alcohol and/or substance (other than tobacco) misuse structured assessment (e.g., audit, dast), and intervention, greater than 30 minutes (G0397)",HCPCS,2.16.840.1.113883.6.285
Alcohol Counseling or Other Follow Up Care,2.16.840.1.113883.3.464.1004.1437,G0443,"Brief face-to-face behavioral counseling for alcohol misuse, 15 minutes (G0443)",HCPCS,2.16.840.1.113883.6.285
Alcohol Counseling or Other Follow Up Care,2.16.840.1.113883.3.464.1004.1437,G2011,"Alcohol and/or substance (other than tobacco) misuse structured assessment (e.g., audit, dast), and brief intervention, 5-14 minutes (G2011)",HCPCS,2.16.840.1.113883.6.285
Alcohol Counseling or Other Follow Up Care,2.16.840.1.113883.3.464.1004.1437,H0005,Alcohol and/or drug services; group counseling by a clinician (H0005),HCPCS,2.16.840.1.113883.6.285
Alcohol Counseling or Other Follow Up Care,2.16.840.1.113883.3.464.1004.1437,H0007,Alcohol and/or drug services; crisis intervention (outpatient) (H0007),HCPCS,2.16.840.1.113883.6.285
Alcohol Counseling or Other Follow Up Care,2.16.840.1.113883.3.464.1004.1437,H0015,"Alcohol and/or drug services; intensive outpatient (treatment program that operates at least 3 hours/day and at least 3 days/week and is based on an individualized treatment plan), including assessment, counseling; crisis intervention, and activity therapies or education (H0015)",HCPCS,2.16.840.1.113883.6.285
Alcohol Counseling or Other Follow Up Care,2.16.840.1.113883.3.464.1004.1437,H0016,Alcohol and/or drug services; medical/somatic (medical intervention in ambulatory setting) (H0016),HCPCS,2.16.840.1.113883.6.285
Alcohol Counseling or Other Follow Up Care,2.16.840.1.113883.3.464.1004.1437,H0022,Alcohol and/or drug intervention service (planned facilitation) (H0022),HCPCS,2.16.840.1.113883.6.285
