Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8393,"[O36.8393] Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8394,"[O36.8394] Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8395,"[O36.8395] Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8399,"[O36.8399] Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8910,"[O36.8910] Maternal care for other specified fetal problems, first trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8911,"[O36.8911] Maternal care for other specified fetal problems, first trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8912,"[O36.8912] Maternal care for other specified fetal problems, first trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8913,"[O36.8913] Maternal care for other specified fetal problems, first trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8914,"[O36.8914] Maternal care for other specified fetal problems, first trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8915,"[O36.8915] Maternal care for other specified fetal problems, first trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8919,"[O36.8919] Maternal care for other specified fetal problems, first trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8920,"[O36.8920] Maternal care for other specified fetal problems, second trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8921,"[O36.8921] Maternal care for other specified fetal problems, second trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8922,"[O36.8922] Maternal care for other specified fetal problems, second trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8923,"[O36.8923] Maternal care for other specified fetal problems, second trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8924,"[O36.8924] Maternal care for other specified fetal problems, second trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8925,"[O36.8925] Maternal care for other specified fetal problems, second trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8929,"[O36.8929] Maternal care for other specified fetal problems, second trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8930,"[O36.8930] Maternal care for other specified fetal problems, third trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8931,"[O36.8931] Maternal care for other specified fetal problems, third trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8932,"[O36.8932] Maternal care for other specified fetal problems, third trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8933,"[O36.8933] Maternal care for other specified fetal problems, third trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8934,"[O36.8934] Maternal care for other specified fetal problems, third trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8935,"[O36.8935] Maternal care for other specified fetal problems, third trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8939,"[O36.8939] Maternal care for other specified fetal problems, third trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8990,"[O36.8990] Maternal care for other specified fetal problems, unspecified trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8991,"[O36.8991] Maternal care for other specified fetal problems, unspecified trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8992,"[O36.8992] Maternal care for other specified fetal problems, unspecified trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8993,"[O36.8993] Maternal care for other specified fetal problems, unspecified trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8994,"[O36.8994] Maternal care for other specified fetal problems, unspecified trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8995,"[O36.8995] Maternal care for other specified fetal problems, unspecified trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.8999,"[O36.8999] Maternal care for other specified fetal problems, unspecified trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.90X0,"[O36.90X0] Maternal care for fetal problem, unspecified, unspecified trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90
Pregnancy,2.16.840.1.113883.3.464.1004.1219,O36.90X1,"[O36.90X1] Maternal care for fetal problem, unspecified, unspecified trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90
