Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99221,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99222,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99223,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99231,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99232,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99233,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99234,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99235,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99236,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99238,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99239,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99251,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99252,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99253,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99254,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99255,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,99291,,CPT,2.16.840.1.113883.6.12
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,417005,Hospital re-admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,1505002,Hospital admission for isolation (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,2252009,"Hospital admission, urgent, 48 hours (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,4563007,"Hospital admission, transfer from other hospital or health care facility (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,5161006,Specialty clinic admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,8715000,"Hospital admission, elective (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,10378005,"Hospital admission, emergency, from emergency room, accidental injury (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,12843005,Subsequent hospital visit by physician (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,15584006,"Hospital admission, elective, with partial pre-admission work-up (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,18083007,"Hospital admission, emergency, indirect (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,19951005,"Hospital admission, emergency, from emergency room, medical nature (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,25986004,"Hospital admission, under police custody (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,32485007,Hospital admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,45702004,"Hospital admission, precertified by medical audit action (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,47348005,"Hospital admission, mother, for observation, delivered outside of hospital (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,48183000,"Hospital admission, special (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,50699000,"Hospital admission, short-term (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,51032003,"Hospital admission, donor for transplant organ (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,51501005,"Hospital admission, parent, for in-hospital child care (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,52748007,Involuntary hospital admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,60059000,"Hospital admission, infant, for observation, delivered outside of hospital (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,63551005,"Hospital admission, from remote area, by means of special transportation (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,69399002,Initial hospital visit by physician (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,70755000,"Hospital admission, by legal authority (commitment) (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,71290004,"Hospital admission, limited to designated procedures (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,73607007,"Hospital admission, emergency, from emergency room (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,74857009,"Hospital admission, short-term, 24 hours (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,76193006,Routinely scheduled operation (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,76464004,"Hospital admission, for observation (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,78680009,"Hospital admission, emergency, direct (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,81672003,"Hospital admission, elective, without pre-admission work-up (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,82942009,"Hospital admission, blood donor (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,83362003,Final inpatient visit with instructions at discharge (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,86181006,Evaluation and management of inpatient (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,112689000,"Hospital admission, elective, with complete pre-admission work-up (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183450002,Admission to burn unit (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183452005,Emergency hospital admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183481006,Non-urgent hospital admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183487005,Non-urgent medical admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183488000,Non-urgent surgical admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183489008,Non-urgent psychiatric admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183491000,Non-urgent geriatric admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183492007,Non-urgent pediatric admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183493002,Non-urgent gynecological admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183494008,Non-urgent obstetric admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183495009,Non-urgent orthopedic admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183496005,"Non-urgent ear, nose and throat admission (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183497001,Non-urgent trauma admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183498006,Non-urgent ophthalmological admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183499003,Non-urgent rheumatology admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183500007,Non-urgent dermatology admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183501006,Non-urgent neurology admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183502004,Non-urgent urology admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183503009,Non-urgent radiotherapy admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183504003,Non-urgent hematology admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183505002,Non-urgent plastic surgery admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183506001,Non-urgent diabetic admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183507005,Non-urgent respiratory admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183508000,Non-urgent psychogeriatric admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183509008,Non-urgent renal medicine admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183510003,Non-urgent neurosurgical admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183511004,Non-urgent cardiothoracic admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,183512006,Non-urgent oral surgical admission (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,235313004,Non-emergency appendectomy (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,287927002,Dilatation and curettage: routine (procedure) [287927002],SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,304566005,Admission for treatment (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,305337004,Admission to community hospital (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,305338009,Admission to general practice hospital (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,305339001,Admission to private hospital (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,305341000,Admission to tertiary referral hospital (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,305342007,Admission to ward (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,305350003,Admission to anesthetic department (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
