Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10760381000119106,Thyroiditis in pregnancy (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10760421000119102,Psychotic disorder in mother complicating childbirth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10760461000119107,Psychotic disorder in mother complicating pregnancy (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10760541000119109,Traumatic injury to vulva during pregnancy (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10760581000119104,Pain in round ligament in pregnancy (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10760661000119109,"Triplets, some live born (finding)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10760701000119102,"Quadruplets, all live born (finding)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10760741000119100,"Quadruplets, some live born (finding)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10760781000119105,"Quintuplets, all live born (finding)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10760821000119100,"Quintuplets, some live born (finding)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10760861000119105,"Sextuplets, all live born (finding)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10760901000119104,"Sextuplets, some live born (finding)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10760941000119102,Psychological abuse complicating childbirth (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10760981000119107,Psychological abuse complicating pregnancy (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10761021000119102,Sexual abuse complicating childbirth (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10761061000119107,Sexual abuse complicating pregnancy (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10761101000119105,Vacuum assisted vaginal delivery (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10761141000119107,Preterm labor in second trimester with preterm delivery in second trimester (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10761191000119104,Preterm labor in third trimester with preterm delivery in third trimester (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10761241000119104,Preterm labor with preterm delivery (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10761341000119105,Preterm labor without delivery (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10761391000119102,Tobacco use in mother complicating childbirth (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10805641000119102,Congenital cardiovascular anomaly in mother complicating childbirth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10806241000119108,Thalassemia in mother complicating childbirth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10807061000119103,Liver disorder in mother complicating childbirth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10808861000119105,Maternal distress during childbirth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10809061000119106,Malaria in mother complicating childbirth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10809101000119109,Hypothyroidism in childbirth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10809641000119100,Mitral valve disorder in mother complicating childbirth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10811121000119102,Major depressive disorder in mother complicating childbirth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10811161000119107,Major depressive disorder in mother complicating pregnancy (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10811201000119102,Mental disorder in mother complicating childbirth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10812041000119103,Urinary tract infection due to incomplete miscarriage (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10812131000119108,Malnutrition in mother complicating childbirth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10835621000119104,Congenital anomaly of vagina in mother complicating pregnancy (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10835701000119102,Congenital anomaly of vulva in mother complicating pregnancy (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10835781000119105,Amniotic fluid embolism in childbirth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10835871000119104,Depressive disorder in mother complicating childbirth (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10835971000119109,Anti-A sensitization in pregnancy (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,10836071000119101,Dislocation of symphysis pubis in pregnancy (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,11056091000119105,Recurrent herpes simplex infection of buttock (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,11718971000119100,Diarrhea in pregnancy (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,12198241000119109,Malposition of intrauterine contraceptive device (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,12275071000119109,Conjoined twin pregnancy (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Diagnoses Indicating Sexual Activity,2.16.840.1.113883.3.464.1004.2481,13016151000119101,Constipation during pregnancy (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
