Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449053004,Lymphoma of lower esophagus (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449058008,Follicular non-Hodgkin's lymphoma of tonsil (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449059000,Follicular non-Hodgkin's lymphoma of uterine cervix (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449063007,Follicular non-Hodgkin's lymphoma of oral cavity (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449065000,Diffuse non-Hodgkin's lymphoma of nose (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449072004,Lymphoma of gastrointestinal tract (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449074003,Lymphoma of small intestine (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449075002,Lymphoma of cardioesophageal junction (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449108003,Philadelphia chromosome positive chronic myelogenous leukemia (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449173006,Diffuse non-Hodgkin's lymphoma of tonsil (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449176003,Diffuse non-Hodgkin's lymphoma of intestine (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449177007,Diffuse non-Hodgkin's lymphoma of bone (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449187006,Kappa light chain deficiency (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449216004,Diffuse non-Hodgkin's lymphoma of soft tissue (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449217008,Diffuse non-Hodgkin's lymphoma of skin (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449218003,Lymphoma of sigmoid colon (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449219006,Follicular non-Hodgkin's lymphoma of nasopharynx (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449220000,Diffuse follicle center lymphoma (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449221001,Diffuse non-Hodgkin's lymphoma of central nervous system (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449222008,Follicular non-Hodgkin's lymphoma of stomach (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Contraindications to Childhood Vaccines,2.16.840.1.113883.3.464.1004.2464,449292003,Non-Hodgkin's lymphoma of tonsil (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
