Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Frailty Symptom,2.16.840.1.113883.3.464.1004.1533,89201000119106,Dependence on supplemental oxygen when ambulating (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Frailty Symptom,2.16.840.1.113883.3.464.1004.1533,152921000119101,Dependence on respiratory device (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Frailty Symptom,2.16.840.1.113883.3.464.1004.1533,250991000119100,Stumbling gait (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Frailty Symptom,2.16.840.1.113883.3.464.1004.1533,15634971000119107,Weakness of bilateral upper limbs (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Frailty Symptom,2.16.840.1.113883.3.464.1004.1533,16018391000119104,Paresis of left lower limb (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Frailty Symptom,2.16.840.1.113883.3.464.1004.1533,16018431000119109,Paresis of right lower limb (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Frailty Symptom,2.16.840.1.113883.3.464.1004.1533,16419651000119103,Dependence on biphasic positive airway pressure ventilation due to central sleep apnea syndrome (finding),SNOMED CT US Edition,2.16.840.1.113883.6.96
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,33927,,CPT,2.16.840.1.113883.6.12
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,33928,,CPT,2.16.840.1.113883.6.12
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,33935,,CPT,2.16.840.1.113883.6.12
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,33945,,CPT,2.16.840.1.113883.6.12
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,02YA0Z0,"[02YA0Z0] Transplantation of Heart, Allogeneic, Open Approach",ICD10PCS,2.16.840.1.113883.6.4
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,02YA0Z1,"[02YA0Z1] Transplantation of Heart, Syngeneic, Open Approach",ICD10PCS,2.16.840.1.113883.6.4
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,02YA0Z2,"[02YA0Z2] Transplantation of Heart, Zooplastic, Open Approach",ICD10PCS,2.16.840.1.113883.6.4
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,32413006,Transplantation of heart (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,32477003,Heart-lung transplant with recipient cardiectomy-pneumonectomy (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,47058000,Heart transplant with recipient cardiectomy (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,174802006,Allotransplant of heart and lung (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,174808005,Xenotransplant of heart (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,174809002,Heterotopic allotransplant of heart (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,232973007,Allotransplant of heart (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,232974001,Orthotopic allotransplant of heart (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Heart Transplant,2.16.840.1.113883.3.464.1004.2203,405768001,Autotransplantation of heart (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33361,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33362,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33363,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33364,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33365,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33366,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33367,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33368,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33369,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33390,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33391,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33404,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33405,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33406,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33410,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33411,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33412,,CPT,2.16.840.1.113883.6.12
Heart Valve Repair or Replacement,2.16.840.1.113883.3.464.1004.2201,33413,,CPT,2.16.840.1.113883.6.12
