Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Alcohol Withdrawal,2.16.840.1.113883.3.464.1004.2209,F10.230,"[F10.230] Alcohol dependence with withdrawal, uncomplicated",ICD10CM,2.16.840.1.113883.6.90
Alcohol Withdrawal,2.16.840.1.113883.3.464.1004.2209,F10.231,[F10.231] Alcohol dependence with withdrawal delirium,ICD10CM,2.16.840.1.113883.6.90
Alcohol Withdrawal,2.16.840.1.113883.3.464.1004.2209,F10.232,[F10.232] Alcohol dependence with withdrawal with perceptual disturbance,ICD10CM,2.16.840.1.113883.6.90
Alcohol Withdrawal,2.16.840.1.113883.3.464.1004.2209,F10.239,"[F10.239] Alcohol dependence with withdrawal, unspecified",ICD10CM,2.16.840.1.113883.6.90
Alcohol Withdrawal,2.16.840.1.113883.3.464.1004.2209,8635005,Alcohol withdrawal delirium (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Alcohol Withdrawal,2.16.840.1.113883.3.464.1004.2209,85561006,Alcohol withdrawal syndrome without complication (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Alcohol Withdrawal,2.16.840.1.113883.3.464.1004.2209,191476005,Alcohol withdrawal hallucinosis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Alcohol Withdrawal,2.16.840.1.113883.3.464.1004.2209,191480000,Alcohol withdrawal syndrome (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Alcohol Withdrawal,2.16.840.1.113883.3.464.1004.2209,308742005,Alcohol withdrawal-induced convulsion (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Alcohol Withdrawal,2.16.840.1.113883.3.464.1004.2209,723926008,Perceptual disturbances and seizures co-occurrent and due to alcohol withdrawal (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,F13.230,"[F13.230] Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated",ICD10CM,2.16.840.1.113883.6.90
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,F13.231,"[F13.231] Sedative, hypnotic or anxiolytic dependence with withdrawal delirium",ICD10CM,2.16.840.1.113883.6.90
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,F13.232,"[F13.232] Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual disturbance",ICD10CM,2.16.840.1.113883.6.90
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,F13.239,"[F13.239] Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified",ICD10CM,2.16.840.1.113883.6.90
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,F13.930,"[F13.930] Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, uncomplicated",ICD10CM,2.16.840.1.113883.6.90
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,F13.931,"[F13.931] Sedative, hypnotic or anxiolytic use, unspecified with withdrawal delirium",ICD10CM,2.16.840.1.113883.6.90
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,F13.932,"[F13.932] Sedative, hypnotic or anxiolytic use, unspecified with withdrawal with perceptual disturbances",ICD10CM,2.16.840.1.113883.6.90
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,F13.939,"[F13.939] Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, unspecified",ICD10CM,2.16.840.1.113883.6.90
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,361151007,Delirium due to sedative withdrawal (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,703849002,Benzodiazepine withdrawal syndrome (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,703850002,Delirium due to benzodiazepine withdrawal (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,724660009,Hypnotic withdrawal syndrome (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,724661008,Anxiolytic withdrawal syndrome (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,724662001,Sedative withdrawal syndrome without complication (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,724663006,Hypnotic withdrawal syndrome without complication (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,724664000,Anxiolytic withdrawal syndrome without complication (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,724665004,Perceptual disturbances co-occurrent and due to sedative withdrawal (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,724666003,Perceptual disturbances co-occurrent and due to hypnotic withdrawal (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,724667007,Perceptual disturbances co-occurrent and due to anxiolytic withdrawal (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
