Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90791,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90792,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90832,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90833,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90834,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90836,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90837,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90838,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90839,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90845,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90846,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90847,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90849,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90853,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90865,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90867,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90868,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90869,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90870,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90875,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90876,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90880,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,90887,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,99484,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,99492,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,99493,,CPT,2.16.840.1.113883.6.12
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,G0155,"Services of clinical social worker in home health or hospice settings, each 15 minutes (G0155)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,G0176,"Activity therapy, such as music, dance, art or play therapies not for recreation, related to the care and treatment of patient's disabling mental health problems, per session (45 minutes or more) (G0176)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,G0177,Training and educational services related to the care and treatment of patient's disabling mental health problems per session (45 minutes or more) (G0177),HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,G0409,"Social work and psychological services, directly relating to and/or furthering the patient's rehabilitation goals, each 15 minutes, face-to-face; individual (services provided by a corf-qualified social worker or psychologist in a corf) (G0409)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,G0410,"Group psychotherapy other than of a multiple-family group, in a partial hospitalization or intensive outpatient setting, approximately 45 to 50 minutes (G0410)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,G0411,"Interactive group psychotherapy, in a partial hospitalization or intensive outpatient setting, approximately 45 to 50 minutes (G0411)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,G0511,"Rural health clinic or federally qualified health center (rhc or fqhc) only, general care management, 20 minutes or more of clinical staff time for chronic care management services or behavioral health integration services directed by an rhc or fqhc practitioner (physician, np, pa, or cnm), per calendar month (G0511)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,G0512,"Rural health clinic or federally qualified health center (rhc/fqhc) only, psychiatric collaborative care model (psychiatric cocm), 60 minutes or more of clinical staff time for psychiatric cocm services directed by an rhc or fqhc practitioner (physician, np, pa, or cnm) and including services furnished by a behavioral health care manager and consultation with a psychiatric consultant, per calendar month (G0512)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H0002,Behavioral health screening to determine eligibility for admission to treatment program (H0002),HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H0004,"Behavioral health counseling and therapy, per 15 minutes (H0004)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H0031,"Mental health assessment, by non-physician (H0031)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H0034,"Medication training and support, per 15 minutes (H0034)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H0035,"Mental health partial hospitalization, treatment, less than 24 hours (H0035)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H0036,"Community psychiatric supportive treatment, face-to-face, per 15 minutes (H0036)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H0037,"Community psychiatric supportive treatment program, per diem (H0037)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H0039,"Assertive community treatment, face-to-face, per 15 minutes (H0039)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H0040,"Assertive community treatment program, per diem (H0040)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H2000,Comprehensive multidisciplinary evaluation (H2000),HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H2001,"Rehabilitation program, per 1/2 day (H2001)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H2010,"Comprehensive medication services, per 15 minutes (H2010)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H2011,"Crisis intervention service, per 15 minutes (H2011)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H2012,"Behavioral health day treatment, per hour (H2012)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H2013,"Psychiatric health facility service, per diem (H2013)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H2014,"Skills training and development, per 15 minutes (H2014)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H2015,"Comprehensive community support services, per 15 minutes (H2015)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H2016,"Comprehensive community support services, per diem (H2016)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H2017,"Psychosocial rehabilitation services, per 15 minutes (H2017)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H2018,"Psychosocial rehabilitation services, per diem (H2018)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H2019,"Therapeutic behavioral services, per 15 minutes (H2019)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,H2020,"Therapeutic behavioral services, per diem (H2020)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,S0201,"Partial hospitalization services, less than 24 hours, per diem (S0201)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,S9480,"Intensive outpatient psychiatric services, per diem (S9480)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,S9484,"Crisis intervention mental health services, per hour (S9484)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,S9485,"Crisis intervention mental health services, per diem (S9485)",HCPCS,2.16.840.1.113883.6.285
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,5694008,Crisis intervention with follow-up (regime/therapy),SNOMED CT US Edition,2.16.840.1.113883.6.96
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,10197000,Psychiatric interview and evaluation (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,10997001,Psychiatric evaluation of patient for testimentary capacity with report (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,38756009,Psychiatric evaluation of patient for criminal responsibility with report (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Behavioral Health Encounter,2.16.840.1.113883.3.464.1004.1383,45392008,Psychologic evaluation or test procedure (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
