Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,19081,,CPT,2.16.840.1.113883.6.12
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,19083,,CPT,2.16.840.1.113883.6.12
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,19085,,CPT,2.16.840.1.113883.6.12
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,19100,,CPT,2.16.840.1.113883.6.12
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,19101,,CPT,2.16.840.1.113883.6.12
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,10940003,Excisional biopsy of breast with preoperative localization (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,28768007,Incisional biopsy of breast mass (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,42125001,Excisional biopsy of breast mass (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,44578009,Core needle biopsy of breast (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,116219004,Excisional biopsy of breast mass with axillary contents (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,116220005,Excisional biopsy of breast mass without axillary contents (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,116334007,Percutaneous core needle biopsy of breast using stereotactic guidance (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,172086006,Breast cavity shavings (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,237372000,Excisional biopsy of breast (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,237375003,Breast biopsy and related procedures (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,237376002,Percutaneous needle biopsy of breast (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,237377006,Percutaneous drill biopsy of breast (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,237378001,Incisional biopsy of breast (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,237379009,Marker biopsy of breast lesion (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,265253005,Percutaneous biopsy of breast lesion (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,274331003,Surgical biopsy of breast (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,287553003,Non-surgical breast biopsy (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,303689004,Tru-cut biopsy of breast (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,307298009,Percutaneous fine needle aspiration of breast lesion (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,387736007,Fine needle aspiration of breast (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,432109009,Fine needle aspiration biopsy of breast using magnetic resonance imaging guidance (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,432157003,Vacuum assisted biopsy of breast using ultrasound guidance (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,432337008,Fine needle aspiration biopsy of breast using ultrasound guidance (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,432550005,Core needle biopsy of breast using ultrasound guidance (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,433008009,Core needle biopsy of breast using magnetic resonance imaging guidance (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,433685008,Fine needle aspiration and core needle biopsy of breast using magnetic resonance imaging guidance (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,433805008,Fine needle aspiration biopsy and core needle biopsy of breast using ultrasonographic guidance (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,442963006,Percutaneous needle biopsy of breast using ultrasound guidance (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Breast Biopsy,2.16.840.1.113883.3.464.1004.2505,445171002,Core needle biopsy of breast using mammography guidance (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
