Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.294S,"[T41.294S] Poisoning by other general anesthetics, undetermined, sequela",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.3X1A,"[T41.3X1A] Poisoning by local anesthetics, accidental (unintentional), initial encounter",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.3X1D,"[T41.3X1D] Poisoning by local anesthetics, accidental (unintentional), subsequent encounter",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.3X1S,"[T41.3X1S] Poisoning by local anesthetics, accidental (unintentional), sequela",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.3X4A,"[T41.3X4A] Poisoning by local anesthetics, undetermined, initial encounter",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.3X4D,"[T41.3X4D] Poisoning by local anesthetics, undetermined, subsequent encounter",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.3X4S,"[T41.3X4S] Poisoning by local anesthetics, undetermined, sequela",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.41XA,"[T41.41XA] Poisoning by unspecified anesthetic, accidental (unintentional), initial encounter",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.41XD,"[T41.41XD] Poisoning by unspecified anesthetic, accidental (unintentional), subsequent encounter",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.41XS,"[T41.41XS] Poisoning by unspecified anesthetic, accidental (unintentional), sequela",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.44XA,"[T41.44XA] Poisoning by unspecified anesthetic, undetermined, initial encounter",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.44XD,"[T41.44XD] Poisoning by unspecified anesthetic, undetermined, subsequent encounter",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.44XS,"[T41.44XS] Poisoning by unspecified anesthetic, undetermined, sequela",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.5X1A,"[T41.5X1A] Poisoning by therapeutic gases, accidental (unintentional), initial encounter",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.5X1D,"[T41.5X1D] Poisoning by therapeutic gases, accidental (unintentional), subsequent encounter",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.5X1S,"[T41.5X1S] Poisoning by therapeutic gases, accidental (unintentional), sequela",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.5X4A,"[T41.5X4A] Poisoning by therapeutic gases, undetermined, initial encounter",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.5X4D,"[T41.5X4D] Poisoning by therapeutic gases, undetermined, subsequent encounter",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T41.5X4S,"[T41.5X4S] Poisoning by therapeutic gases, undetermined, sequela",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T42.3X1A,"[T42.3X1A] Poisoning by barbiturates, accidental (unintentional), initial encounter",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T42.3X1D,"[T42.3X1D] Poisoning by barbiturates, accidental (unintentional), subsequent encounter",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T42.3X1S,"[T42.3X1S] Poisoning by barbiturates, accidental (unintentional), sequela",ICD10CM,2.16.840.1.113883.6.90
Unintentional Drug Overdose,2.16.840.1.113883.3.464.1004.2243,T42.3X4A,"[T42.3X4A] Poisoning by barbiturates, undetermined, initial encounter",ICD10CM,2.16.840.1.113883.6.90
