Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,F50.22,"[F50.22] Bulimia nervosa, moderate",ICD10CM,2.16.840.1.113883.6.90
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,F50.23,"[F50.23] Bulimia nervosa, severe",ICD10CM,2.16.840.1.113883.6.90
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,F50.24,"[F50.24] Bulimia nervosa, extreme",ICD10CM,2.16.840.1.113883.6.90
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,F50.25,"[F50.25] Bulimia nervosa, in remission",ICD10CM,2.16.840.1.113883.6.90
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,F50.810,"[F50.810] Binge eating disorder, mild",ICD10CM,2.16.840.1.113883.6.90
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,F50.811,"[F50.811] Binge eating disorder, moderate",ICD10CM,2.16.840.1.113883.6.90
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,F50.812,"[F50.812] Binge eating disorder, severe",ICD10CM,2.16.840.1.113883.6.90
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,F50.813,"[F50.813] Binge eating disorder, extreme",ICD10CM,2.16.840.1.113883.6.90
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,F50.814,"[F50.814] Binge eating disorder, in remission",ICD10CM,2.16.840.1.113883.6.90
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,F50.819,"[F50.819] Binge eating disorder, unspecified",ICD10CM,2.16.840.1.113883.6.90
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,F50.82,[F50.82] Avoidant/restrictive food intake disorder,ICD10CM,2.16.840.1.113883.6.90
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,F50.83,[F50.83] Pica in adults,ICD10CM,2.16.840.1.113883.6.90
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,F50.84,[F50.84] Rumination disorder in adults,ICD10CM,2.16.840.1.113883.6.90
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,F50.89,[F50.89] Other specified eating disorder,ICD10CM,2.16.840.1.113883.6.90
