Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263469008,Malignant neoplasm of soft tissue of thumb (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263474000,Malignant neoplasm of soft tissue of axilla (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263475004,Malignant neoplasm of soft tissue of buttock (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263476003,Malignant neoplasm soft tissue of lower limb (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263479005,Malignant neoplasm of perineum (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263484004,Metastatic endometrioid carcinoma to ovary (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263601000,Metastatic scirrhous carcinoma to breast (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263639008,Metastatic transitional cell carcinoma to urinary bladder (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263640005,Metastatic transitional cell carcinoma to corpus uteri (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263641009,Metastatic transitional cell carcinoma to kidney (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263642002,Metastatic transitional cell carcinoma to left kidney (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263643007,Metastatic transitional cell carcinoma to right kidney (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263652003,Metastatic mucoepidermoid carcinoma to parotid gland (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263653008,Metastatic mucoepidermoid carcinoma to salivary gland (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263654002,Metastatic mucoepidermoid carcinoma to submandibular gland (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263655001,Metastatic transitional cell carcinoma to right renal pelvis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263656000,Metastatic transitional cell carcinoma to left renal pelvis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263657009,Metastatic transitional cell carcinoma to ureter (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263658004,Metastatic transitional cell carcinoma to left ureter (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263659007,Metastatic transitional cell carcinoma to renal pelvis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263660002,Metastatic transitional cell carcinoma to upper urinary tract (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Malignant Neoplasms,2.16.840.1.113883.3.464.1004.1167,1263786003,Metastatic basaloid squamous cell carcinoma to nasopharynx (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
