Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Severe Pressure Ulcers,2.16.840.1.113883.3.464.1004.1372,L89.813,"[L89.813] Pressure ulcer of head, stage 3",ICD10CM,2.16.840.1.113883.6.90
Severe Pressure Ulcers,2.16.840.1.113883.3.464.1004.1372,L89.814,"[L89.814] Pressure ulcer of head, stage 4",ICD10CM,2.16.840.1.113883.6.90
Severe Pressure Ulcers,2.16.840.1.113883.3.464.1004.1372,L89.890,"[L89.890] Pressure ulcer of other site, unstageable",ICD10CM,2.16.840.1.113883.6.90
Severe Pressure Ulcers,2.16.840.1.113883.3.464.1004.1372,L89.893,"[L89.893] Pressure ulcer of other site, stage 3",ICD10CM,2.16.840.1.113883.6.90
Severe Pressure Ulcers,2.16.840.1.113883.3.464.1004.1372,L89.894,"[L89.894] Pressure ulcer of other site, stage 4",ICD10CM,2.16.840.1.113883.6.90
Severe Pressure Ulcers,2.16.840.1.113883.3.464.1004.1372,L89.93,"[L89.93] Pressure ulcer of unspecified site, stage 3",ICD10CM,2.16.840.1.113883.6.90
Severe Pressure Ulcers,2.16.840.1.113883.3.464.1004.1372,L89.94,"[L89.94] Pressure ulcer of unspecified site, stage 4",ICD10CM,2.16.840.1.113883.6.90
Severe Pressure Ulcers,2.16.840.1.113883.3.464.1004.1372,L89.95,"[L89.95] Pressure ulcer of unspecified site, unstageable",ICD10CM,2.16.840.1.113883.6.90
Sickle Cell Anemia and HB S Disease,2.16.840.1.113883.3.464.1004.1373,D57.00,"[D57.00] Hb-SS disease with crisis, unspecified",ICD10CM,2.16.840.1.113883.6.90
Sickle Cell Anemia and HB S Disease,2.16.840.1.113883.3.464.1004.1373,D57.01,[D57.01] Hb-SS disease with acute chest syndrome,ICD10CM,2.16.840.1.113883.6.90
Sickle Cell Anemia and HB S Disease,2.16.840.1.113883.3.464.1004.1373,D57.02,[D57.02] Hb-SS disease with splenic sequestration,ICD10CM,2.16.840.1.113883.6.90
Sickle Cell Anemia and HB S Disease,2.16.840.1.113883.3.464.1004.1373,D57.03,[D57.03] Hb-SS disease with cerebral vascular involvement,ICD10CM,2.16.840.1.113883.6.90
Sickle Cell Anemia and HB S Disease,2.16.840.1.113883.3.464.1004.1373,D57.04,[D57.04] Hb-SS disease with dactylitis,ICD10CM,2.16.840.1.113883.6.90
Sickle Cell Anemia and HB S Disease,2.16.840.1.113883.3.464.1004.1373,D57.09,[D57.09] Hb-SS disease with crisis with other specified complication,ICD10CM,2.16.840.1.113883.6.90
Sickle Cell Anemia and HB S Disease,2.16.840.1.113883.3.464.1004.1373,D57.1,[D57.1] Sickle-cell disease without crisis,ICD10CM,2.16.840.1.113883.6.90
