Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.10,"[F10.10] Alcohol abuse, uncomplicated",ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.120,"[F10.120] Alcohol abuse with intoxication, uncomplicated",ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.121,[F10.121] Alcohol abuse with intoxication delirium,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.129,"[F10.129] Alcohol abuse with intoxication, unspecified",ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.130,"[F10.130] Alcohol abuse with withdrawal, uncomplicated",ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.131,[F10.131] Alcohol abuse with withdrawal delirium,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.132,[F10.132] Alcohol abuse with withdrawal with perceptual disturbance,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.139,"[F10.139] Alcohol abuse with withdrawal, unspecified",ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.14,[F10.14] Alcohol abuse with alcohol-induced mood disorder,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.150,[F10.150] Alcohol abuse with alcohol-induced psychotic disorder with delusions,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.151,[F10.151] Alcohol abuse with alcohol-induced psychotic disorder with hallucinations,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.159,"[F10.159] Alcohol abuse with alcohol-induced psychotic disorder, unspecified",ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.180,[F10.180] Alcohol abuse with alcohol-induced anxiety disorder,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.181,[F10.181] Alcohol abuse with alcohol-induced sexual dysfunction,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.182,[F10.182] Alcohol abuse with alcohol-induced sleep disorder,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.188,[F10.188] Alcohol abuse with other alcohol-induced disorder,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.19,[F10.19] Alcohol abuse with unspecified alcohol-induced disorder,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.20,"[F10.20] Alcohol dependence, uncomplicated",ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.220,"[F10.220] Alcohol dependence with intoxication, uncomplicated",ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.221,[F10.221] Alcohol dependence with intoxication delirium,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.229,"[F10.229] Alcohol dependence with intoxication, unspecified",ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.230,"[F10.230] Alcohol dependence with withdrawal, uncomplicated",ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.231,[F10.231] Alcohol dependence with withdrawal delirium,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.232,[F10.232] Alcohol dependence with withdrawal with perceptual disturbance,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.239,"[F10.239] Alcohol dependence with withdrawal, unspecified",ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.24,[F10.24] Alcohol dependence with alcohol-induced mood disorder,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.250,[F10.250] Alcohol dependence with alcohol-induced psychotic disorder with delusions,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.251,[F10.251] Alcohol dependence with alcohol-induced psychotic disorder with hallucinations,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.259,"[F10.259] Alcohol dependence with alcohol-induced psychotic disorder, unspecified",ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.26,[F10.26] Alcohol dependence with alcohol-induced persisting amnestic disorder,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.27,[F10.27] Alcohol dependence with alcohol-induced persisting dementia,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.280,[F10.280] Alcohol dependence with alcohol-induced anxiety disorder,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.281,[F10.281] Alcohol dependence with alcohol-induced sexual dysfunction,ICD10CM,2.16.840.1.113883.6.90
Alcohol Abuse and Dependence,2.16.840.1.113883.3.464.1004.1424,F10.282,[F10.282] Alcohol dependence with alcohol-induced sleep disorder,ICD10CM,2.16.840.1.113883.6.90
