Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Recent Injuries That May Warrant Imaging,2.16.840.1.113883.3.464.1004.2596,S52.511C,"[S52.511C] Displaced fracture of right radial styloid process, initial encounter for open fracture type IIIA, IIIB, or IIIC",ICD10CM,2.16.840.1.113883.6.90
Recent Injuries That May Warrant Imaging,2.16.840.1.113883.3.464.1004.2596,S52.511D,"[S52.511D] Displaced fracture of right radial styloid process, subsequent encounter for closed fracture with routine healing",ICD10CM,2.16.840.1.113883.6.90
Recent Injuries That May Warrant Imaging,2.16.840.1.113883.3.464.1004.2596,S52.511E,"[S52.511E] Displaced fracture of right radial styloid process, subsequent encounter for open fracture type I or II with routine healing",ICD10CM,2.16.840.1.113883.6.90
Recent Injuries That May Warrant Imaging,2.16.840.1.113883.3.464.1004.2596,S52.511F,"[S52.511F] Displaced fracture of right radial styloid process, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",ICD10CM,2.16.840.1.113883.6.90
Recent Injuries That May Warrant Imaging,2.16.840.1.113883.3.464.1004.2596,S52.511G,"[S52.511G] Displaced fracture of right radial styloid process, subsequent encounter for closed fracture with delayed healing",ICD10CM,2.16.840.1.113883.6.90
Recent Injuries That May Warrant Imaging,2.16.840.1.113883.3.464.1004.2596,S52.511H,"[S52.511H] Displaced fracture of right radial styloid process, subsequent encounter for open fracture type I or II with delayed healing",ICD10CM,2.16.840.1.113883.6.90
Recent Injuries That May Warrant Imaging,2.16.840.1.113883.3.464.1004.2596,S52.511J,"[S52.511J] Displaced fracture of right radial styloid process, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",ICD10CM,2.16.840.1.113883.6.90
Recent Injuries That May Warrant Imaging,2.16.840.1.113883.3.464.1004.2596,S52.511K,"[S52.511K] Displaced fracture of right radial styloid process, subsequent encounter for closed fracture with nonunion",ICD10CM,2.16.840.1.113883.6.90
Recent Injuries That May Warrant Imaging,2.16.840.1.113883.3.464.1004.2596,S52.511M,"[S52.511M] Displaced fracture of right radial styloid process, subsequent encounter for open fracture type I or II with nonunion",ICD10CM,2.16.840.1.113883.6.90
Recent Injuries That May Warrant Imaging,2.16.840.1.113883.3.464.1004.2596,S52.511N,"[S52.511N] Displaced fracture of right radial styloid process, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",ICD10CM,2.16.840.1.113883.6.90
