Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Dental Provider,2.16.840.1.113883.3.464.1004.2404,122300000X,Dentist [Dental Providers],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,1223D0001X,Dental Public Health [Dentist],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,1223D0004X,Dentist Anesthesiologist [Dentist],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,1223E0200X,Endodontics [Dentist],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,1223G0001X,General Practice [Dentist],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,1223P0106X,Oral and Maxillofacial Pathology [Dentist],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,1223P0221X,Pediatric Dentistry [Dentist],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,1223P0300X,Periodontics [Dentist],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,1223P0700X,Prosthodontics [Dentist],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,1223S0112X,Oral and Maxillofacial Surgery [Dentist],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,1223X0008X,Oral and Maxillofacial Radiology [Dentist],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,1223X0400X,Orthodontics and Dentofacial Orthopedics [Dentist],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,1223X2210X,Orofacial Pain [Dentist],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,122400000X,Denturist [Dental Providers],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,124Q00000X,Dental Hygienist [Dental Providers],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,125J00000X,Dental Therapist [Dental Providers],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,125K00000X,Advanced Practice Dental Therapist [Dental Providers],Provider Taxonomy,2.16.840.1.113883.6.101
Dental Provider,2.16.840.1.113883.3.464.1004.2404,125Q00000X,Oral Medicinist [Dental Providers],Provider Taxonomy,2.16.840.1.113883.6.101
