Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,J41.0,[J41.0] Simple chronic bronchitis,ICD10CM,2.16.840.1.113883.6.90
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,J41.1,[J41.1] Mucopurulent chronic bronchitis,ICD10CM,2.16.840.1.113883.6.90
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,J41.8,[J41.8] Mixed simple and mucopurulent chronic bronchitis,ICD10CM,2.16.840.1.113883.6.90
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,J42,[J42] Unspecified chronic bronchitis,ICD10CM,2.16.840.1.113883.6.90
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,J43.0,[J43.0] Unilateral pulmonary emphysema [MacLeod's syndrome],ICD10CM,2.16.840.1.113883.6.90
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,J43.1,[J43.1] Panlobular emphysema,ICD10CM,2.16.840.1.113883.6.90
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,J43.2,[J43.2] Centrilobular emphysema,ICD10CM,2.16.840.1.113883.6.90
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,J43.8,[J43.8] Other emphysema,ICD10CM,2.16.840.1.113883.6.90
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,J43.9,"[J43.9] Emphysema, unspecified",ICD10CM,2.16.840.1.113883.6.90
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,J44.0,[J44.0] Chronic obstructive pulmonary disease with (acute) lower respiratory infection,ICD10CM,2.16.840.1.113883.6.90
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,J44.1,[J44.1] Chronic obstructive pulmonary disease with (acute) exacerbation,ICD10CM,2.16.840.1.113883.6.90
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,J44.81,[J44.81] Bronchiolitis obliterans and bronchiolitis obliterans syndrome,ICD10CM,2.16.840.1.113883.6.90
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,J44.89,[J44.89] Other specified chronic obstructive pulmonary disease,ICD10CM,2.16.840.1.113883.6.90
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,J44.9,"[J44.9] Chronic obstructive pulmonary disease, unspecified",ICD10CM,2.16.840.1.113883.6.90
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,4981000,Panacinar emphysema (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,13645005,Chronic obstructive pulmonary disease (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,16003001,Giant bullous emphysema (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,16846004,Obstructive emphysema (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,23958009,Vanishing lung (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,31898008,Paraseptal emphysema (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,47895001,Congenital emphysema (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,49691004,Occupational bronchitis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,52571006,Chronic tracheobronchitis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,54288002,Traumatic subcutaneous emphysema (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Chronic Obstructive Pulmonary Diseases,2.16.840.1.113883.3.464.1004.2463,57686001,Emphysematous bleb of lung (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
