Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,96156,,CPT,2.16.840.1.113883.6.12
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,96160,,CPT,2.16.840.1.113883.6.12
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,96161,,CPT,2.16.840.1.113883.6.12
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,97802,,CPT,2.16.840.1.113883.6.12
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,97803,,CPT,2.16.840.1.113883.6.12
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,97804,,CPT,2.16.840.1.113883.6.12
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,S5170,"Home delivered meals, including preparation; per meal (S5170)",HCPCS,2.16.840.1.113883.6.285
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,S9470,"Nutritional counseling, dietitian visit (S9470)",HCPCS,2.16.840.1.113883.6.285
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,1759002,Assessment of nutritional status (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,61310001,Nutrition education (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,103699006,Referral to dietitian (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,308440001,Referral to social worker (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,385767005,Meals on wheels provision education (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,710824005,Assessment of health and social care needs (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,710925007,Provision of food (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,711069006,Coordination of care plan (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,713109004,Referral to community meals service (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,1002223009,Assessment of progress toward goals to achieve food security (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,1002224003,Assessment for food insecurity (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,1002225002,Assessment of barriers in food insecurity care plan (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,1004109000,Assessment of goals to achieve food security (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,1004110005,Coordination of resources to address food insecurity (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,1148446004,Education about legal aid (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,1162436000,Referral to legal aid (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Food Insecurity Procedures,2.16.840.1.113883.3.464.1004.2262,1230338004,Referral to charitable organization (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
