Value Set,Change,Code System,Code,Revised
Non Live Births,Deleted,SNOMED CT US Edition,72209007,
Non Live Births,Deleted,SNOMED CT US Edition,76843005,
Non Live Births,Deleted,SNOMED CT US Edition,79333004,
Non Live Births,Deleted,SNOMED CT US Edition,85796009,
Non Live Births,Deleted,SNOMED CT US Edition,86709000,
Non Live Births,Deleted,SNOMED CT US Edition,87169001,
Non Live Births,Deleted,SNOMED CT US Edition,89573004,
Non Live Births,Deleted,SNOMED CT US Edition,111425004,
Non Live Births,Deleted,SNOMED CT US Edition,198644001,
Non Live Births,Deleted,SNOMED CT US Edition,198645000,
Non Live Births,Deleted,SNOMED CT US Edition,198646004,
Non Live Births,Deleted,SNOMED CT US Edition,199895009,
Non Live Births,Deleted,SNOMED CT US Edition,267194005,
Non Live Births,Deleted,SNOMED CT US Edition,698636009,
Non Live Births,Deleted,SNOMED CT US Edition,737326006,
Non Live Births,Deleted,SNOMED CT US Edition,1220654002,
Online Assessments,Added,CPT,98016,2025-03-31
Opioid Abuse and Dependence,Added,SNOMED CT US Edition,1304039005,2025-03-31
Opioid Abuse and Dependence,Added,SNOMED CT US Edition,1304040007,2025-03-31
Opioid Abuse and Dependence,Deleted,SNOMED CT US Edition,191865004,
Opioid Abuse and Dependence,Deleted,SNOMED CT US Edition,191867007,
Opioid Abuse and Dependence,Deleted,SNOMED CT US Edition,191868002,
Opioid Abuse and Dependence,Deleted,SNOMED CT US Edition,703847000,
Organ and Bone Marrow Transplants,Deleted,ICD10PCS,30230G1,2025-03-31
Organ and Bone Marrow Transplants,Deleted,ICD10PCS,30230X1,2025-03-31
Organ and Bone Marrow Transplants,Deleted,ICD10PCS,30230Y1,2025-03-31
Organ and Bone Marrow Transplants,Deleted,ICD10PCS,30233G1,2025-03-31
Organ and Bone Marrow Transplants,Deleted,ICD10PCS,30233X1,2025-03-31
Organ and Bone Marrow Transplants,Deleted,ICD10PCS,30233Y1,2025-03-31
Organ and Bone Marrow Transplants,Deleted,ICD10PCS,30240G1,2025-03-31
Organ and Bone Marrow Transplants,Deleted,ICD10PCS,30240X1,2025-03-31
Organ and Bone Marrow Transplants,Deleted,ICD10PCS,30240Y1,2025-03-31
Organ and Bone Marrow Transplants,Deleted,ICD10PCS,30243G1,2025-03-31
Organ and Bone Marrow Transplants,Deleted,ICD10PCS,30243X1,2025-03-31
Organ and Bone Marrow Transplants,Deleted,ICD10PCS,30243Y1,2025-03-31
